統一編號,商業名稱,商業地址,歇業日期,Longitude,Latitude,縣市,行政區
00544226,星大師商行,臺北市中正區館前路2號12樓,1140401,121.514883,25.046368,臺北市,中正區
01658643,曾記曾添丁自營計程車行,臺北市內湖區民權東路1520巷25弄15號︹之2︺,1140401,121.546869,25.059691,臺北市,內湖區
11386902,金泰銀樓,臺北市中山區北安路552之1號1樓,1140401,121.548177,25.080331,臺北市,中山區
11387509,金峰銀樓,臺北市中山區林森北路103號1樓,1140401,121.524981,25.050182,臺北市,中山區
14328364,第一劇場魚丸店,臺北市松山區八德路4段96號1樓,1140401,121.56066,25.048359,臺北市,松山區
15421401,新愛興理髮廳,臺北市萬華區萬大路71巷24號1樓,1140401,121.501375,25.030629,臺北市,萬華區
31844379,金苑服飾店,臺北市大安區敦化南路1段161巷26號1樓,1140401,121.550392,25.043423,臺北市,大安區
76358909,樂春日式餐飲店,臺北市松山區長春路490號,1140401,121.547019,25.054383,臺北市,松山區
88151066,道水順德餐飲商行,臺北市士林區至誠路2段129號1樓,1140401,121.526882,25.10093,臺北市,士林區
88290378,富園食品行,臺北市信義區忠孝東路4段553巷6弄11號1樓,1140401,121.56334,25.042307,臺北市,信義區
88306126,大本事商行,臺北市信義區忠孝東路4段553巷18號,1140401,121.562888,25.04294,臺北市,信義區
93142659,睦月小吃部,臺北市大安區忠孝東路4段216巷33弄6號1樓,1140401,121.553325,25.039321,臺北市,大安區
93145446,米藝企業社,臺北市中山區錦州街46號9樓之3,1140401,121.525783,25.060174,臺北市,中山區
93196325,鼎騏商行,臺北市中正區南昌路1段31巷18號,1140401,121.517752,25.032292,臺北市,中正區
00543423,好旺來美食館,臺北市大同區南京西路18巷6弄3之2號1樓,1140402,121.519797,25.05205,臺北市,大同區
14719186,百年便利商店,臺北市萬華區環河南路2段250巷25弄2號1樓,1140402,121.489984,25.033842,臺北市,萬華區
18976018,義倉米行,臺北市萬華區萬大路187巷66號1樓,1140402,121.502005,25.028182,臺北市,萬華區
25554013,任意門養身飲品館,臺北市大安區和平東路3段70之2號1樓,1140402,121.550506,25.024324,臺北市,大安區
25657881,春漾咖啡館,臺北市中山區中山北路2段50巷7號1樓,1140402,121.522104,25.056279,臺北市,中山區
38459792,八八八彩券行,臺北市中山區民生東路1段25之10號,1140402,121.524731,25.058197,臺北市,中山區
72915221,星辰商行,臺北市萬華區萬大路380號1樓,1140402,121.499035,25.022485,臺北市,萬華區
76485742,幸福熱氣球坊,臺北市大安區潮州街162號2樓,1140402,121.529352,25.028337,臺北市,大安區
88278249,春滿早點豆漿店,臺北市中山區錦州街261號1樓,1140402,121.534715,25.060389,臺北市,中山區
88368305,立健美中西藥局,臺北市松山區民權東路3段106巷1號1樓,1140402,121.544985,25.061767,臺北市,松山區
93114366,怪獸工作室,臺北市中山區錦州街159號2樓之5,1140402,121.529867,25.06044,臺北市,中山區
93196465,轉轉義大利麵,臺北市中正區汀州路3段140號1樓,1140402,121.533923,25.013798,臺北市,中正區
94919708,庶磊汽車商行,臺北市信義區忠孝東路5段185號1樓,1140402,121.569219,25.04119,臺北市,信義區
00542199,昶盈館,臺北市萬華區康定路142號1樓,1140407,121.50188,25.039944,臺北市,萬華區
10381561,于牟春香商行,臺北市萬華區內江街9號公有西門市場55號攤位,1140407,121.506684,25.041594,臺北市,萬華區
25521935,簡單生活單車坊,臺北市北投區懷德街75巷2號,1140407,121.51954,25.113662,臺北市,北投區
26253444,天母清潔服務社,臺北市士林區中山北路6段405巷54號1樓,1140407,121.526925,25.115368,臺北市,士林區
26375164,夢想藝術沙龍,臺北市中山區南京西路23巷5之1號,1140407,121.520668,25.053484,臺北市,中山區
38462038,錢來來彩券投注站,臺北市萬華區廣州街171號,1140407,121.501168,25.036708,臺北市,萬華區
38571818,芙芙法式烘焙工作室,臺北市內湖區內湖路1段388號2樓之2,1140407,121.572451,25.080801,臺北市,內湖區
42345809,朵朵行,臺北市萬華區中華路1段114巷13號,1140407,121.507981,25.043924,臺北市,萬華區
76384049,俱樂咖啡商行,臺北市北投區中和街28號13樓之8,1140407,121.502985,25.137951,臺北市,北投區
88159068,盛裕小吃店,臺北市中山區錦州街399號,1140407,121.54149,25.060289,臺北市,中山區
88216650,景智茶莊,臺北市大安區和平東路2段311巷20號1樓,1140407,121.545051,25.025237,臺北市,大安區
93143329,森品商行,臺北市中山區民權東路3段69號1樓,1140407,121.543454,25.062539,臺北市,中山區
93180034,邱媽事業商行,臺北市萬華區昆明街184號,1140407,121.504493,25.041698,臺北市,萬華區
93188423,御工良履工作室,臺北市信義區忠孝東路5段1之5號1樓,1140407,121.564936,25.041533,臺北市,信義區
94903023,寧波芋圓店,臺北市中正區寧波西街76號,1140407,121.516666,25.030118,臺北市,中正區
99626738,金格企業社,臺北市松山區南京東路4段152號4樓,1140407,121.556067,25.051385,臺北市,松山區
00538982,正宗雲泰料理餐廳,臺北市中山區四平街99號1樓,1140408,121.535452,25.053688,臺北市,中山區
00548172,圓樂小吃店,臺北市士林區文昌路16號1樓,1140408,121.521804,25.094995,臺北市,士林區
01636022,詹瑞東自營計程車,臺北市內湖區內湖路3段329巷4弄14號2樓,1140408,121.585725,25.088327,臺北市,內湖區
05703326,鍾儒智自營計程車行,臺北市中正區臨沂街3巷21號2樓,1140408,121.531831,25.043299,臺北市,中正區
10340204,橙子設計工作室,臺北市松山區南京東路3段346之8號10樓1015室,1140408,121.548078,25.051561,臺北市,松山區
10344692,超美髮型設計屋,臺北市信義區信義路5段150巷401弄21號,1140408,121.570545,25.024348,臺北市,信義區
17286612,利高百貨行,臺北市萬華區廣州街223巷7號1樓,1140408,121.498966,25.037013,臺北市,萬華區
17619816,優點子資訊企業社,臺北市大同區延平北路4段179巷22號1樓,1140408,121.51215,25.073549,臺北市,大同區
73163705,許順順企業號,臺北市文山區興隆路3段36巷17弄11號,1140408,121.555428,24.999473,臺北市,文山區
76430661,好耶食品行,臺北市中正區汀州路2段331號,1140408,121.525167,25.021359,臺北市,中正區
79815367,五餅二魚恩典實業社,臺北市信義區中坡南路144號右側,1140408,121.584576,25.040181,臺北市,信義區
79854564,登來富商行,臺北市中山區四平街21號1樓,1140408,121.531138,25.053726,臺北市,中山區
88146563,菲騰美食坊,臺北市北投區崇仁路1段54號1樓,1140408,121.50132,25.12694,臺北市,北投區
88149597,御盛食品工作室,臺北市松山區南京東路5段250巷18弄8號1樓,1140408,121.566542,25.0501,臺北市,松山區
88356096,旭吉商行,臺北市內湖區港墘路127巷7號,1140408,121.576423,25.07784,臺北市,內湖區
93128571,轉角餐飲企業社,臺北市南港區南港路1段216號3樓,1140408,121.610553,25.055132,臺北市,南港區
93143469,眾樂商行,臺北市大安區延吉街131巷33號1樓,1140408,121.555509,25.042916,臺北市,大安區
93143475,宙希工作坊,臺北市大同區民權西路104號4樓,1140408,121.51752,25.062705,臺北市,大同區
01709306,世季機車行,臺北市文山區木柵路1段249號,1140409,121.55276,24.988007,臺北市,文山區
25553730,千微餐飲店,臺北市南港區興中路58號,1140409,121.606937,25.056584,臺北市,南港區
27161859,忠泰洗衣店,臺北市信義區忠孝東路4段553巷22弄55號1樓,1140409,121.56355,25.043322,臺北市,信義區
31882252,蕓林工作室,臺北市內湖區金湖路352之1號,1140409,121.603827,25.073646,臺北市,內湖區
42293886,羽澤行,臺北市北投區裕民三路3號1樓,1140409,121.516216,25.116164,臺北市,北投區
42430684,汎福盒子工作室,臺北市北投區尊賢街245巷35號4樓,1140409,121.505539,25.116783,臺北市,北投區
73409709,精英企業社,臺北市中山區農安街271巷5號4樓,1140409,121.536016,25.064969,臺北市,中山區
