year,months,organ,kind,number,numofpeople
113,2,蘆洲分局,拆除攤架,0,0
113,2,三峽分局,拆除攤架,0,0
113,2,樹林分局,拆除攤架,0,0
113,2,汐止分局,拆除攤架,0,0
113,2,淡水分局,拆除攤架,0,0
113,2,瑞芳分局,拆除攤架,0,0
113,2,金山分局,拆除攤架,0,0
113,2,林口分局,拆除攤架,0,0
113,2,總　　　計,勸導,847,847
113,2,板橋分局,勸導,101,101
113,2,海山分局,勸導,61,61
113,2,中和分局,勸導,101,101
113,2,永和分局,勸導,0,0
113,2,三重分局,勸導,32,32
113,2,新莊分局,勸導,240,240
113,2,土城分局,勸導,164,164
113,2,新店分局,勸導,0,0
113,2,蘆洲分局,勸導,62,62
113,2,三峽分局,勸導,32,32
113,2,樹林分局,勸導,5,5
113,2,汐止分局,勸導,0,0
113,2,淡水分局,勸導,0,0
113,2,瑞芳分局,勸導,42,42
113,2,金山分局,勸導,7,7
113,2,林口分局,勸導,0,0
113,3,總　　　計,總計,3254,3254
113,3,板橋分局,總計,531,531
113,3,海山分局,總計,130,130
113,3,中和分局,總計,422,422
113,3,永和分局,總計,57,57
113,3,三重分局,總計,349,349
113,3,新莊分局,總計,494,494
113,3,土城分局,總計,251,251
113,3,新店分局,總計,346,346
113,3,蘆洲分局,總計,218,218
113,3,三峽分局,總計,113,113
113,3,樹林分局,總計,26,26
113,3,汐止分局,總計,87,87
113,3,淡水分局,總計,152,152
113,3,瑞芳分局,總計,42,42
113,3,金山分局,總計,6,6
113,3,林口分局,總計,30,30
113,3,總　　　計,罰鍰,2071,2071
113,3,板橋分局,罰鍰,376,376
113,3,海山分局,罰鍰,50,50
113,3,中和分局,罰鍰,207,207
113,3,永和分局,罰鍰,57,57
113,3,三重分局,罰鍰,297,297
113,3,新莊分局,罰鍰,156,156
113,3,土城分局,罰鍰,85,85
113,3,新店分局,罰鍰,346,346
113,3,蘆洲分局,罰鍰,118,118
113,3,三峽分局,罰鍰,84,84
113,3,樹林分局,罰鍰,21,21
113,3,汐止分局,罰鍰,87,87
113,3,淡水分局,罰鍰,152,152
113,3,瑞芳分局,罰鍰,4,4
113,3,金山分局,罰鍰,1,1
113,3,林口分局,罰鍰,30,30
113,3,總　　　計,没入攤架,0,0
113,3,板橋分局,没入攤架,0,0
113,3,海山分局,没入攤架,0,0
113,3,中和分局,没入攤架,0,0
113,3,永和分局,没入攤架,0,0
113,3,三重分局,没入攤架,0,0
113,3,新莊分局,没入攤架,0,0
113,3,土城分局,没入攤架,0,0
113,3,新店分局,没入攤架,0,0
113,3,蘆洲分局,没入攤架,0,0
113,3,三峽分局,没入攤架,0,0
113,3,樹林分局,没入攤架,0,0
113,3,汐止分局,没入攤架,0,0
113,3,淡水分局,没入攤架,0,0
113,3,瑞芳分局,没入攤架,0,0
113,3,金山分局,没入攤架,0,0
113,3,林口分局,没入攤架,0,0
113,3,總　　　計,拆除攤架,0,0
113,3,板橋分局,拆除攤架,0,0
113,3,海山分局,拆除攤架,0,0
113,3,中和分局,拆除攤架,0,0
113,3,永和分局,拆除攤架,0,0
113,3,三重分局,拆除攤架,0,0
113,3,新莊分局,拆除攤架,0,0
113,3,土城分局,拆除攤架,0,0
113,3,新店分局,拆除攤架,0,0
113,3,蘆洲分局,拆除攤架,0,0
113,3,三峽分局,拆除攤架,0,0
113,3,樹林分局,拆除攤架,0,0
113,3,汐止分局,拆除攤架,0,0
113,3,淡水分局,拆除攤架,0,0
113,3,瑞芳分局,拆除攤架,0,0
113,3,金山分局,拆除攤架,0,0
113,3,林口分局,拆除攤架,0,0
113,3,總　　　計,勸導,1183,1183
113,3,板橋分局,勸導,155,155
113,3,海山分局,勸導,80,80
113,3,中和分局,勸導,215,215
113,3,永和分局,勸導,0,0
113,3,三重分局,勸導,52,52
113,3,新莊分局,勸導,338,338
113,3,土城分局,勸導,166,166
113,3,新店分局,勸導,0,0
113,3,蘆洲分局,勸導,100,100
113,3,三峽分局,勸導,29,29
113,3,樹林分局,勸導,5,5
113,3,汐止分局,勸導,0,0
113,3,淡水分局,勸導,0,0
113,3,瑞芳分局,勸導,38,38
113,3,金山分局,勸導,5,5
113,3,林口分局,勸導,0,0
113,4,總　　　計,總計,2952,2952
113,4,板橋分局,總計,743,743
113,4,海山分局,總計,150,150
113,4,中和分局,總計,240,240
113,4,永和分局,總計,36,36
113,4,三重分局,總計,244,244
113,4,新莊分局,總計,334,334
113,4,土城分局,總計,229,229
113,4,新店分局,總計,385,385
113,4,蘆洲分局,總計,202,202
113,4,三峽分局,總計,137,137
113,4,樹林分局,總計,32,32
113,4,汐止分局,總計,48,48
113,4,淡水分局,總計,90,90
113,4,瑞芳分局,總計,45,45
113,4,金山分局,總計,10,10
113,4,林口分局,總計,27,27
113,4,總　　　計,罰鍰,1972,1972
113,4,板橋分局,罰鍰,542,542
113,4,海山分局,罰鍰,55,55
113,4,中和分局,罰鍰,126,126
113,4,永和分局,罰鍰,36,36
113,4,三重分局,罰鍰,212,212
113,4,新莊分局,罰鍰,117,117
