項次,地區,經度X,緯度Y,設置地點,街道名稱,排班格位,排班時間
109,內湖,121.570205,25.080285,a爾發科技中心大樓,瑞光路513巷36號前,1,週一至週五9~17
110,內湖,121.602429,25.083832,捷運大湖公園站1號出口,成功路5段,1,0~24
111,內湖,121.575764,25.058665,新湖一路85號,新湖一路85號,3,週一至週五18~20
112,內湖,121.599220,25.060909,長虹雲端科技大樓,安康路106巷,3,0~24
113,文山,121.573451,24.998014,捷運木柵站,木柵路4段111巷,6,0~24
114,文山,121.581637,24.999475,木柵動物園前廣場東側,新光路,5,0~24
115,文山,121.579867,24.998416,捷運動物園站,新光路2段32號,6,0~24
116,文山,121.568722,24.998486,捷運萬芳社區站停車彎,萬芳路60號,2,0~24
117,文山,121.587846,24.968699,貓空纜車(貓空站),指南路3段38巷35號(貓空纜車貓空站前),3,0~24
118,文山,121.558415,24.999447,萬芳醫院,興隆路3段115巷,4,0~24
119,文山,121.575945,24.996012,貓空纜車(動物園站),新光路2段(貓空纜車貓空站前),6,0~24
120,文山,121.561862,24.984191,邱成湦皮膚科診所前,興隆路4段163之1號,1,週一至週五7~10
121,北投,121.502535,25.136998,捷運新北投站,大業路700 號,3,0~24
122,北投,121.473151,25.131107,捷運忠義站,中央北路4段,5,0~24
123,北投,121.498385,25.131724,捷運北投站,北投路2段1號,12,0~24
124,北投,121.472001,25.128526,和信醫院,立德路125號,4,0~24
125,北投,121.515433,25.114987,捷運石牌站,東華街1段,7,0~24
126,北投,121.506609,25.120924,捷運唭哩岸站東側,東華街2段322號對面停車彎,1,0~24
127,北投,121.547248,25.152345,陽明山,湖山路一段14號對面,2,0~24
128,北投,121.467328,25.125489,捷運關渡站1號出口,捷運關渡站1號出口左側,8,0~24
129,北投,121.471505,25.124852,華碩電腦公司前,立德路15號,7,周一至週五9~20
130,北投,121.519235,25.109158,捷運明德站出口,捷運明德站出口(明德路西往東),2,0~24
131,北投,121.521391,25.117257,振興醫院,明德路365號對面,4,週一至週六8~20
132,北投,121.471499,25.124844,萊爾富對面,立德路60號對面,3,周一至周五9~17
133,北投,121.522305,25.116913,振興醫院,振興街45號,2,0~24
134,松山,121.548411,25.045949,臺北富邦銀行敦南分行,敦化南路1段108號,3,0~24
135,松山,121.544239,25.046099,微風廣場購物中心,復興南路1段39號,3,0~24
136,松山,121.548603,25.054752,FRIDAY餐廳,敦化北路150號,2,0~24
137,松山,121.563333,25.058423,三民路圓環,三民路115號,2,週一至週五8~18
138,松山,121.546441,25.058185,玉山銀行,民生東路3段115號,3,8~18
139,松山,121.56007,25.049963,臺北瓦斯光復大樓,光復北路11巷50號,4,週一至週五8~20
140,松山,121.558234,25.053913,三軍總醫院松山分院,健康路131號,2,0~24
141,松山,121.544268,25.049048,中興百貨,復興北路15號,1,周一至周五11~23
142,松山,121.544182,25.050411,合作金庫儲蓄部,復興北路55號,2,週一至週五8~18
143,松山,121.548481,25.056559,渣打銀行,敦化北路168號,9,週一至週五8~18
144,松山,121.549451,25.055346,長庚醫院,敦化北路197號,4,0~24
145,松山,121.545549,25.045325,微風廣場,微風廣場東側巷道,2,10~22
146,松山,121.547438,25.048146,台安醫院,八德路2段台安醫院前,4,0~24
147,松山,121.547788,25.057248,宏泰世紀大樓(勞委會),民生東路3段156號,4,9~24
148,松山,121.544474,25.061076,一銀民權分行,復興北路365號,3,週一至週五7~20
149,松山,121.544197,25.052334,捷運南京復興站,復興北路臨7號出口,3,0~24
150,松山,121.552414,25.051885,捷運臺北小巨蛋站,南京東路4段55號(1號出口旁),3,0~24
151,松山,121.551867,25.051322,捷運臺北小巨蛋站,南京東路4段6號(3號出口旁),3,0~24
152,松山,121.577962,25.051251,慈祐宮周邊(7-11前),八德路4段767號前,2,19~01
153,松山,121.577746,25.050453,慈祐宮周邊(松山國小前),捷運松山站5號出口前,2,19~01
154,松山,121.578269,25.048911,松山車站地下停車場,松山路11號,30,0~24
155,松山,121.548417,25.063416,上達汽車前,民族東路689號,1,0~24
156,松山,121.547387,25.051872,柯達大飯店台北南京館,松山區南京東路三段333號,2,0~24
157,信義,121.563694,25.036998,市府正大門口南側,市府路1號,5,0~24
158,信義,121.563426,25.035671,君悅飯店,市府路松壽路口西南側,4,0~24
159,信義,121.563056,25.041097,兆豐銀行(臺北分行),忠孝東路4段550號,2,0~24
160,信義,121.567198,25.040976,捷運市政府站3號出口,忠孝東路5段,6,0~24
161,信義,121.578413,25.040995,銀星商業大樓,忠孝東路5段508號,2,週一至週五7~20
