SITE_ID,Agency Codes,MINISTRY,AGENCY,STYPE,NAME,VENDOR_ID,HOTSPOT_ID,ZipCode,county,district,ADDR,LATITUDE,LONGITUDE,E-MINISTRY,E_AGENCY,E_STYPE,E_NAME,E_CITY,E_AREA,E_ADDR
TPEE004150,379560000G,臺北市政府,臺北市政府都市發展局,社區中心,木柵社會住宅1F櫃檯,,TAIFO,116,臺北市,文山區,116臺北市文山區久康街24巷36號,121.5663612,24.9892271,Taipei City Government,"Department of Urban Develpment,Taipei City Government",Community Center,Muzha Social Housing 1F counter,Taipei City,Wenshan District,"1F., No. 36, Ln. 24, Jiukang St., Wenshan Dist., Taipei City?116?, Taiwan (R.O.C.)"
TPEE004151,379670100G,臺北市政府,臺北市市場處,行政機關,市場處6F處長室前,,TAIFO,103,臺北市,大同區,103臺北市大同區迪化街一段21號6F,121.5106521,25.0549452,Taipei City Government,Taipei City Market Administration Office,Government Agency,"Front of Dean Office on 6F, Taipei City Market Administration Office",Taipei City,Datong District,"No. 21, Sec. 1, Dihua St., Datong Dist., Taipei City103,Taiwan,R.O.C."
TPEE004152,379590000E,臺北市政府,臺北市政府文化局,藝文場館,臺北當代藝術館1F置物櫃上,,TAIFO,103,臺北市,大同區,103臺北市大同區長安西路39號1F,121.5191296,25.0508083,Taipei City Government,"Department of Cultural Affairs, Taipei City Government",Art and Culture Facilities,"1F, On top of Locker, Taipei Fine Arts Museum",Taipei City,Datong District,"No. 39, Chang'an W. Rd., Datong Dist.,Taipei City 103?, Taiwan (R.O.C.)"
TPEE004153,379670100G,臺北市政府,臺北市市場處,商圈市集,K區地下街B1F西廣場右側,,TAIFO,100,臺北市,中正區,100臺北市中正區忠孝西路一段47號B1F,121.5152315,25.0469965,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"Right side of West Plaza on B1F,K Zone Market Street",Taipei City,Zhongzheng District,"No. 47, Sec. 1, Zhongxiao W. Rd., Zhongzheng Dist., Taipei City 100 ,Taiwan (R.O.C.)"
TPEE004154,379670100G,臺北市政府,臺北市市場處,商圈市集,K區地下街B1F KB157店前方,,TAIFO,100,臺北市,中正區,100臺北市中正區忠孝西路一段47號B1F,121.5152315,25.0469965,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"Front of No.KB157 on B1F,K Zone Market Street",Taipei City,Zhongzheng District,"No. 47, Sec. 1, Zhongxiao W. Rd., Zhongzheng Dist., Taipei City 100 ,Taiwan (R.O.C.)"
TPEE004155,379670100G,臺北市政府,臺北市市場處,商圈市集,K區地下街B1F KB116前方,,TAIFO,100,臺北市,中正區,100臺北市中正區忠孝西路一段47號B1F,121.5152787,25.0470921,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"Front of No.KB116 on B1F,K Zone Market Street",Taipei City,Zhongzheng District,"No. 47, Sec. 1, Zhongxiao W. Rd., Zhongzheng Dist., Taipei City 100 ,Taiwan (R.O.C.)"
TPEE004156,379670100G,臺北市政府,臺北市市場處,商圈市集,K區地下街B1F中廣場右側,,TAIFO,100,臺北市,中正區,100臺北市中正區忠孝西路一段47號B1F,121.5158841,25.0470035,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"Right side of Middle Plaza on B1F,K Zone Market Street",Taipei City,Zhongzheng District,"No. 47, Sec. 1, Zhongxiao W. Rd., Zhongzheng Dist., Taipei City 100 ,Taiwan (R.O.C.)"
TPEE004157,379670100G,臺北市政府,臺北市市場處,商圈市集,K區地下街B1F中廣場左側,,TAIFO,100,臺北市,中正區,100臺北市中正區忠孝西路一段47號B1F,121.5162385,25.0469121,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"Left side of Middle Plaza on B1F,K Zone Market Street",Taipei City,Zhongzheng District,"No. 47, Sec. 1, Zhongxiao W. Rd., Zhongzheng Dist., Taipei City 100 ,Taiwan (R.O.C.)"
TPEE004158,379670100G,臺北市政府,臺北市市場處,商圈市集,K區地下街B1F KB144店前方,,TAIFO,100,臺北市,中正區,100臺北市中正區忠孝西路一段47號B1F,121.5167268,25.0469256,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"Front of No.KB144 on B1F,K Zone Market Street",Taipei City,Zhongzheng District,"No. 47, Sec. 1, Zhongxiao W. Rd., Zhongzheng Dist., Taipei City 100 ,Taiwan (R.O.C.)"
TPEE004159,379670100G,臺北市政府,臺北市市場處,商圈市集,K區地下街B1F KB143店前方,,TAIFO,100,臺北市,中正區,100臺北市中正區忠孝西路一段47號B1F,121.5170824,25.0470227,Taipei City Government,Taipei City Market Administration Office,Commercial District and Market,"Front of No.KB143 on B1F,K Zone Market Street",Taipei City,Zhongzheng District,"No. 47, Sec. 1, Zhongxiao W. Rd., Zhongzheng Dist., Taipei City 100 ,Taiwan (R.O.C.)"
